DIRECTORIO,P6800,mes
7858603,48,Julio_2024
7858603,30,Julio_2024
7858604,40,Julio_2024
7858604,42,Julio_2024
7858605,48,Julio_2024
7858606,42,Julio_2024
7858606,48,Julio_2024
7858606,32,Julio_2024
7858607,48,Julio_2024
7858608,48,Julio_2024
7858609,56,Julio_2024
7858610,40,Julio_2024
7858610,42,Julio_2024
7858611,40,Julio_2024
7858611,28,Julio_2024
7858612,45,Julio_2024
7858612,40,Julio_2024
7858615,30,Julio_2024
7858615,36,Julio_2024
7858616,36,Julio_2024
7858616,20,Julio_2024
7858616,8,Julio_2024
7858618,48,Julio_2024
7858619,48,Julio_2024
7858619,48,Julio_2024
7858620,60,Julio_2024
7858622,48,Julio_2024
7858623,48,Julio_2024
7858623,24,Julio_2024
7858624,40,Julio_2024
7858625,40,Julio_2024
7858626,40,Julio_2024
7858627,70,Julio_2024
7858628,48,Julio_2024
7858629,20,Julio_2024
7858629,54,Julio_2024
7858629,54,Julio_2024
7858630,32,Julio_2024
7858631,48,Julio_2024
7858631,48,Julio_2024
7858632,48,Julio_2024
7858635,35,Julio_2024
7858635,21,Julio_2024
7858636,24,Julio_2024
7858636,25,Julio_2024
7858636,40,Julio_2024
7858637,40,Julio_2024
7858637,27,Julio_2024
7858638,48,Julio_2024
7858639,36,Julio_2024
7858641,48,Julio_2024
7858642,12,Julio_2024
7858643,48,Julio_2024
7858643,45,Julio_2024
7858644,40,Julio_2024
7858645,32,Julio_2024
7858645,24,Julio_2024
7858646,45,Julio_2024
7858647,32,Julio_2024
7858647,49,Julio_2024
7858648,35,Julio_2024
7858649,84,Julio_2024
7858650,20,Julio_2024
7858651,40,Julio_2024
7858651,56,Julio_2024
7858652,21,Julio_2024
7858652,48,Julio_2024
7858653,45,Julio_2024
7858653,14,Julio_2024
7858654,48,Julio_2024
7858655,16,Julio_2024
7858655,56,Julio_2024
7858655,24,Julio_2024
7858656,18,Julio_2024
7858657,35,Julio_2024
7858657,14,Julio_2024
7858658,25,Julio_2024
7858660,35,Julio_2024
7858660,40,Julio_2024
7858661,20,Julio_2024
7858664,15,Julio_2024
7858664,15,Julio_2024
7858665,40,Julio_2024
7858666,32,Julio_2024
7858667,35,Julio_2024
7858667,8,Julio_2024
7858668,24,Julio_2024
7858669,40,Julio_2024
7858670,40,Julio_2024
7858670,56,Julio_2024
7858671,25,Julio_2024
7858672,40,Julio_2024
7858673,20,Julio_2024
7858673,35,Julio_2024
7858673,40,Julio_2024
7858673,40,Julio_2024
7858674,60,Julio_2024
7858675,50,Julio_2024
7858677,70,Julio_2024
7858677,30,Julio_2024
7858678,40,Julio_2024
7858679,40,Julio_2024
7858680,40,Julio_2024
7858681,35,Julio_2024
7858681,12,Julio_2024
7858681,35,Julio_2024
7858683,10,Julio_2024
7858683,40,Julio_2024
7858683,48,Julio_2024
7858684,49,Julio_2024
7858684,35,Julio_2024
7858684,28,Julio_2024
7858684,15,Julio_2024
7858685,54,Julio_2024
7858686,5,Julio_2024
7858687,70,Julio_2024
7858687,70,Julio_2024
7858687,44,Julio_2024
7858688,35,Julio_2024
7858690,48,Julio_2024
7858691,25,Julio_2024
7858691,35,Julio_2024
7858696,60,Julio_2024
7858697,20,Julio_2024
